Team,Week,Day,Date,,,OT,,Opp,Tm,Opp,Cmp,Att,Yds,TD,Int,Sk,Sack Yds,PY/A,NY/A,Cmp%,Rush Att,Rush Yds,RY/A,Pnt,Yds,3DConv,3DAtt,4DConv,4DAtt,ToP,OPP Cmp,OPP Att,OPP P_Yds,OPP Int,OPP Sk,OPP SACK Yds,OPP PY/A,OPP NY/A,OPP Cmp%,OPP RUSH Att,OPP RYds,OPP RY/A,OPP Pnt,OPP PUNTYds,OPP3DConv,OPP_3DAtt,OPP 4DConv,OPP 4DAtt,TMWEEK,Spread 
TENN,14,Sun,8-Dec,boxscore,W,,@,OAK,42,21,21,27,391,3,1,0,0,14.5,14.5,77.8,32,161,5,2,102,8,11,0,0,29.2,25,34,258,0,2,4,7.7,7.2,73.5,24,97,4,5,221,4,10,0,1,TENN14,-3
JAX,15,Sun,15-Dec,boxscore,W,,@,OAK,20,16,17,29,185,2,0,2,16,6.9,6,58.6,22,77,3.5,5,248,3,12,1,1,25.8,22,36,236,0,4,31,7.4,5.9,61.1,32,128,4,4,167,4,11,0,0,JAX15,6.5
Den,17,Sun,29-Dec,boxscore,W,,,OAK,16,15,17,28,168,1,0,2,9,6.3,5.6,60.7,27,70,2.6,5,254,3,12,0,0,27,29,46,380,0,2,11,8.5,7.9,63,22,97,4.4,3,124,5,16,1,3,Den17,-3
DC,1,Sun,8-Sep,boxscore,L,,@,PHI,27,32,30,44,370,3,0,1,10,8.6,8.2,68.2,13,28,2.2,5,272,5,13,2,2,25.6,28,39,313,0,1,0,8,7.8,71.8,31,123,4,3,154,11,17,1,2,DC1,0
ATL,2,Sun,15-Sep,boxscore,W,,,PHI,24,20,27,43,310,3,3,1,10,7.4,7,62.8,17,57,3.4,3,118,3,10,1,1,27.1,28,48,237,2,3,18,5.3,4.6,58.3,21,49,2.3,4,209,9,18,2,3,ATL2,0
DET,3,Sun,22-Sep,boxscore,W,,@,PHI,27,24,18,32,201,1,0,0,0,6.3,6.3,56.3,28,86,3.1,5,226,6,14,0,0,27.7,19,36,246,0,3,13,7.2,6.3,52.8,30,127,4.2,3,144,7,13,0,2,DET3,0
GB,4,Thu,26-Sep,boxscore,L,,,PHI,27,34,34,53,414,2,1,1,8,8,7.7,64.2,20,77,3.9,2,83,6,11,0,1,32.4,16,27,160,0,0,0,5.9,5.9,59.3,33,176,5.3,4,167,5,9,0,0,GB4,0
Jets,5,Sun,6-Oct,boxscore,L,,@,PHI,6,31,15,26,61,0,2,10,59,4.6,1.7,57.7,19,67,3.5,8,407,3,14,0,1,29.1,17,29,181,0,1,8,6.5,6,58.6,29,84,2.9,5,234,5,13,0,2,Jets5,0
MINN,6,Sun,13-Oct,boxscore,W,,,PHI,38,20,22,29,325,4,1,1,8,11.5,10.8,75.9,35,122,3.5,3,123,2,10,1,1,32.1,26,41,292,2,2,14,7.5,6.8,63.4,22,108,4.9,3,131,4,12,1,3,MINN6,0
Chi,6,Sun,13-Oct,boxscore,W,,,PHI,38,20,26,41,292,2,2,2,14,7.5,6.8,63.4,22,108,4.9,3,131,4,12,1,3,27.9,23,38,273,0,1,8,7.4,7,60.5,35,151,4.3,4,169,7,15,0,0,Chi6,0
DAL,7,Sun,20-Oct,boxscore,W,,,PHI,37,10,21,27,213,1,1,3,26,8.9,7.1,77.8,36,189,5.3,3,127,8,14,1,1,32.4,16,26,168,1,3,23,7.3,5.8,61.5,28,115,4.1,3,152,3,9,1,2,DAL7,0
Bills,8,Sun,27-Oct,boxscore,L,,,PHI,13,31,16,34,155,2,0,4,14,5,4.1,47.1,20,98,4.9,6,257,6,15,0,2,24.1,17,24,153,0,3,19,7.2,5.7,70.8,41,218,5.3,4,184,8,15,0,2,Bills8,0
Pats,11,Sun,17-Nov,boxscore,W,,@,PHI,17,10,27,48,224,1,0,1,7,4.8,4.6,56.3,22,74,3.4,8,381,5,16,0,0,28.4,20,40,174,0,5,40,5.4,3.9,50,21,81,3.9,8,387,3,13,0,1,Pats11,-4
SEA,12,Sun,24-Nov,boxscore,W,,@,PHI,17,9,13,25,174,1,1,6,26,8,5.6,52,26,174,6.7,7,273,5,14,0,0,28.1,33,45,238,2,3,18,5.7,5,73.3,23,106,4.6,4,164,4,12,0,1,SEA12,1
Miami,13,Sun,1-Dec,boxscore,W,,,PHI,37,31,28,40,351,4,1,3,15,9.2,8.2,70,20,58,2.9,3,96,5,12,3,3,31.3,28,46,294,1,2,16,6.7,6.1,60.9,19,92,4.8,3,128,7,14,0,0,Miami13,10
NYG,14,Mon,9-Dec,boxscore,L,OT,@,PHI,17,23,15,30,182,2,0,2,21,6.8,5.7,50,20,73,3.7,9,415,2,12,0,0,22,33,50,300,0,3,25,6.5,5.7,66,32,118,3.7,8,387,9,21,1,2,NYG14,9.5
DC,15,Sun,15-Dec,boxscore,L,,,PHI,27,37,19,28,251,2,0,1,10,9.3,8.7,67.9,22,101,4.6,4,196,4,10,0,0,23.1,30,43,258,0,2,8,6.2,5.7,69.8,28,157,5.6,3,140,11,16,0,0,DC15,4.5
DAL,16,Sun,22-Dec,boxscore,L,,@,PHI,9,17,25,44,257,0,0,2,8,6,5.6,56.8,16,54,3.4,6,237,3,14,1,2,23.8,31,40,313,0,1,6,8,7.6,77.5,30,118,3.9,4,163,6,14,0,1,DAL16,-2
NYG,17,Sun,29-Dec,boxscore,L,,,PHI,17,34,28,47,275,1,1,4,26,6.4,5.4,59.6,21,122,5.8,6,257,5,16,2,4,28.1,23,40,279,0,1,10,7.2,6.8,57.5,31,121,3.9,7,303,4,15,1,2,NYG17,4.5
Pats,1,Sun,8-Sep,boxscore,W,,,PITT,33,3,25,37,366,3,0,1,7,10.1,9.6,67.6,29,99,3.4,3,123,7,14,0,0,32.6,27,47,276,1,1,0,5.9,5.8,57.4,13,32,2.5,5,228,3,12,1,3,Pats1,0
SEA,2,Sun,15-Sep,boxscore,W,,@,PITT,28,26,29,35,274,3,0,4,26,8.6,7,82.9,33,151,4.6,4,205,5,13,1,1,35.8,20,34,180,1,1,7,5.5,5.1,58.8,16,81,5.1,5,224,3,11,0,0,SEA2,0
SF,3,Sun,22-Sep,boxscore,W,,,PITT,24,20,23,32,268,1,2,1,9,8.7,8.1,71.9,40,168,4.2,3,150,6,11,0,0,36.3,14,27,160,1,2,14,6.4,5.5,51.9,22,79,3.6,6,314,3,12,0,1,SF3,0
Cinci,4,Mon,30-Sep,boxscore,L,,@,PITT,3,27,21,37,102,0,1,8,69,4.6,2.3,56.8,19,73,3.8,5,205,4,14,1,3,30.2,27,31,260,0,0,0,8.4,8.4,87.1,25,66,2.6,2,99,3,9,0,1,Cinci4,0
BALT,5,Sun,6-Oct,boxscore,W,OT,@,PITT,26,23,19,28,139,1,3,5,22,5.8,4.2,67.9,40,138,3.5,3,155,6,15,1,1,39,21,31,192,1,1,11,6.5,6,67.7,19,77,4.1,4,175,3,9,0,0,BALT5,0
Miami,8,Mon,28-Oct,boxscore,L,,@,PITT,14,27,21,34,170,2,2,4,20,5.6,4.5,61.8,19,60,3.2,2,93,3,8,0,2,24.7,20,36,236,1,2,15,7,6.2,55.6,29,158,5.4,3,140,6,13,0,1,Miami8,0
INDY,9,Sun,3-Nov,boxscore,L,,@,PITT,24,26,21,31,189,3,1,5,38,7.3,5.3,67.7,29,139,4.8,3,135,4,12,2,3,30.5,26,35,183,1,1,8,5.5,5.1,74.3,25,90,3.6,1,48,5,13,0,1,INDY9,-1
LAR,10,Sun,10-Nov,boxscore,L,,@,PITT,12,17,22,42,218,0,3,4,25,5.8,4.7,52.4,23,88,3.8,8,379,1,14,0,2,28.3,22,38,231,0,3,11,6.4,5.6,57.9,27,42,1.6,9,383,5,16,1,1,LAR10,-3.5
CLEVE,11,Thu,14-Nov,boxscore,W,,,PITT,21,7,17,32,189,2,0,1,4,6,5.7,53.1,35,104,3,8,366,6,16,0,0,34,23,44,178,4,4,43,5,3.7,52.3,16,58,3.6,5,248,2,11,0,3,CLEVE11,-2.5
Cinci,12,Sun,24-Nov,boxscore,L,,,PITT,10,16,12,26,158,1,0,4,34,7.4,5.3,46.2,21,86,4.1,9,418,2,12,0,0,25.3,13,27,179,1,3,24,7.5,6,48.1,38,159,4.2,7,317,5,16,0,0,Cinci12,6.5
CLEVE,13,Sun,1-Dec,boxscore,L,,@,PITT,13,20,18,34,173,1,1,5,23,5.8,4.4,52.9,24,106,4.4,4,181,4,12,1,2,32.1,14,21,199,1,1,13,10.1,9,66.7,32,124,3.9,4,173,4,10,0,0,CLEVE13,-2
ARI,14,Sun,8-Dec,boxscore,L,,,PITT,17,23,20,30,165,2,3,5,29,6.5,4.7,66.7,22,71,3.2,3,164,4,11,1,3,28.1,16,19,135,0,3,17,8,6.1,84.2,35,140,4,2,96,4,11,0,1,ARI14,2.5
Bills,15,Sun,15-Dec,boxscore,W,,@,PITT,17,10,13,25,131,1,1,1,8,5.6,5,52,38,130,3.4,6,249,6,14,1,1,32.3,23,38,178,4,4,24,5.3,4.2,60.5,14,51,3.6,5,215,5,13,0,1,Bills15,1
Jets,16,Sun,22-Dec,boxscore,W,,,PITT,16,10,16,26,174,1,0,2,9,7,6.2,61.5,32,85,2.7,6,275,4,15,1,1,28.5,25,37,185,2,4,28,5.8,4.5,67.6,25,75,3,7,279,3,14,0,1,Jets16,3
BALT,17,Sun,29-Dec,boxscore,W,,,PITT,28,10,11,21,81,0,1,3,15,4.6,3.4,52.4,44,223,5.1,3,140,7,16,1,2,39.5,9,25,77,0,2,18,3.8,2.9,36,23,91,4,5,244,5,12,0,1,BALT17,2
TB,1,Sun,8-Sep,boxscore,L,,,SF,17,31,20,36,174,1,3,3,20,5.4,4.5,55.6,26,121,4.7,2,42,5,11,0,2,29.9,18,27,158,1,1,8,6.1,5.6,66.7,32,98,3.1,2,91,5,13,0,0,TB1,0
Cinci,2,Sun,15-Sep,boxscore,L,,,SF,17,41,26,42,291,2,1,4,20,7.4,6.3,61.9,19,25,1.3,5,226,9,18,1,2,27.7,18,26,312,1,0,0,12,12,69.2,42,259,6.2,2,75,5,9,0,0,Cinci2,0
